instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x0, R3 = 0x24dc8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8244, CPSR = 0x600001d3 / modified register : ['r2'] / memory data : \x0\x20\x93\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x24dc8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8248, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x8\x30\x1b\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x824c, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x4\x30\x83\xe2
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8250, CPSR = 0x600001d3 / modified register : ['r2'] / memory data : \x2\x20\x81\xe0
instruction : str / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8254, CPSR = 0x600001d3 / modified register : [] / memory data : \x0\x20\x83\xe5
instruction : mov / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8258, CPSR = 0x600001d3 / modified register : ['r0'] / memory data : \x0\x0\xa0\xe1
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x825c, CPSR = 0x600001d3 / modified register : ['sp'] / memory data : \x0\xd0\x8b\xe2
instruction : pop / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffec, LR = 0x85e4, PC = 0x8260, CPSR = 0x600001d3 / modified register : ['sp', 'fp'] / memory data : \x4\xb0\x9d\xe4
instruction : bx / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8264, CPSR = 0x600001d3 / modified register : ['pc'] / memory data : \x1e\xff\x2f\xe1
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x85e4, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x80\x30\x9f\xe5
